configuration
64 0;-32 0;-16 0;-8 0;-4 0;-2 0;-1 0;-1 0
64 0;-32 0;-16 0;-8 0;-4 1;-2 0;-1 0;-1 0
64 0;-32 0;-16 0;-8 0;-4 2;-2 0;-1 0;-1 0
64 0;-32 0;-16 0;-8 0;-4 3;-2 0;-1 0;-1 0
64 0;-32 0;-16 0;-8 0;-4 4;-2 0;-1 0;-1 0
64 0;-32 0;-16 0;-8 0;-4 4;-2 0;-1 0;-1 1
64 0;-32 0;-16 0;-8 0;-4 4;-2 0;-1 1;-1 1
64 0;-32 0;-16 0;-8 0;-4 4;-2 1;-1 1;-1 1
64 0;-32 0;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 1;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 2;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 3;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 4;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 5;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 6;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 7;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 8;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 9;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 10;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 11;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 12;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 13;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 14;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 0;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 1;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 2;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 3;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 4;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 5;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 6;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 7;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 8;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 9;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 10;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 11;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 12;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 13;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 14;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 15;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 16;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 17;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 18;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 19;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 20;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 21;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 22;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 23;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 24;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 25;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 26;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 27;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 28;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 29;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 30;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 31;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 32;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 33;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 34;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 35;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 36;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 37;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 38;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 39;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 40;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 41;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 42;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 43;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 44;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 45;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 46;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 47;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 48;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 49;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 50;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 51;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 52;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 53;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 54;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 55;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 56;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 57;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 58;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 59;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 60;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 61;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 62;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 63;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
64 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
63 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
62 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
61 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
60 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
59 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 1
59 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 0
59 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 1;-1 -1
59 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 0;-1 -1
59 64;-32 15;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 14;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 13;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 12;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 11;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 10;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 9;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 8;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 7;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 6;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 5;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 4;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 3;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 2;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 1;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 0;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 -1;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 -2;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 -3;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 -4;-16 0;-8 0;-4 4;-2 2;-1 -1;-1 -1
59 64;-32 -4;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 -3;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 -2;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 -1;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 0;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 1;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 2;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 3;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 4;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 5;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 6;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 7;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 8;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 9;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 10;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 11;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 12;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 13;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 14;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 15;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 16;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 17;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 18;-16 0;-8 0;-3 4;-2 2;-1 -1;-1 -1
59 64;-32 18;-16 0;-8 0;-3 4;-2 2;0 -1;-1 -1
59 64;-32 17;-16 0;-8 0;-3 4;-2 2;0 -1;-1 -1
59 64;-32 16;-16 0;-8 0;-3 4;-2 2;0 -1;-1 -1
59 64;-32 15;-16 0;-8 0;-3 4;-2 2;0 -1;-1 -1
59 64;-32 14;-16 0;-8 0;-3 4;-2 2;0 -1;-1 -1
59 64;-32 13;-16 0;-8 0;-3 4;-2 2;0 -1;-1 -1
59 64;-32 12;-16 0;-8 0;-3 4;-2 2;0 -1;-1 -1
59 64;-32 11;-16 0;-8 0;-3 4;-2 2;0 -1;-1 -1
